a1,a2,a3,a4,a5,a6,a7,a8
2367,2425.9,2505,2544.9,2602.9,2827.8,2880.9,2976.6
2423.1,2393.1,2488.5,2616.5,2678.5,2767.2,2892.4,3107.2
2315.7,2373.4,2461.4,2484.5,2560.8,2916.1,2958.6,2968.2
2036.4,2142.3,2152.1,2145.6,2165.4,2227.5,2541.7,2798.6
2281.5,2290.3,2294.5,2289.2,2311,2370.2,2752.2,2951.4
2343.3,2381.1,2373.5,2406.6,2509.6,2646.6,2811.2,3481.2
2402.4,2410.9,2420.6,2426.8,2429.8,2463,2578.5,2921
2021.5,2472.9,2595.2,2569.5,2616,2784.1,2961.9,3175.8
2329.8,2342.6,2340.8,2402.2,2566,2662.7,2745.4,2964.8
2452.6,2511.5,2525.3,2542.5,2566.7,2618.2,2717.6,2752.5
2666.3,2697.9,2752.7,2730.7,2787.8,2987.3,3094.3,3109.5
2322.7,2376.2,2406.7,2458.8,2573.3,2649.2,2700.6,2885.4
2291.8,2315.6,2329.5,2341.4,2621.7,2814.8,2965.8,3198.9
2557.3,2552.1,2576.3,2599.3,2584,2660.7,2839.9,3149.8
2386.9,2408.2,2437.7,2477.5,2481.8,2510.6,2684.5,3227.3
2486.6,2495.1,2511.8,2502.6,2609.3,2636.4,2628.7,2670.7
2336.3,2433.7,2498.3,2467.1,2586.3,2654.9,2657.3,2697.2
1928.2,2134.8,2174.5,2172.2,2237.9,2792.9,2927,2997.3
2523.3,2537.7,2544.7,2577.1,2643.9,2770.9,2886.9,3133.1
2297.8,2355.1,2386,2383,2523.3,2913.8,3083.5,3139.3
2336.9,2376.5,2397.8,2366.9,2508.6,2978.2,3226.8,3356.8
2168.5,2175.5,2179.3,2217.4,2497.7,2566.9,2706.7,3399.7
2290.5,2344.9,2364.9,2368.2,2364.5,2458.3,2632.2,2885
1815.8,2257.1,2355.7,2398.3,2382.6,2436.8,2598.2,2751.6
2405.4,2434.9,2522.9,2586.3,2529,2727.4,2975.1,3082
1943,2168.7,2442.5,2429.3,2494.5,2739.9,2859.4,2978.7
2081.7,2426.6,2492.5,2460,2526.1,2723.1,3027.2,3233.2
2196.8,2519.7,2518.1,2525.3,2575.6,2835.9,2982,3169.7
2446.8,2470.6,2486.6,2468.6,2528.7,2610.8,2692.2,2771.8
2216.7,2424.7,2494,2543.7,2579.4,2551.6,2671,2931.3
2428,2474.1,2528.3,2563.3,2500.8,2721.7,3020.3,3084.8
2318.8,2330,2340.5,2379.7,2532.8,2650.1,2692.1,2706.7
2331.9,2363,2379,2372.2,2465.8,2662.6,2740.6,2840.7
2065.4,2387.7,2459.8,2494.3,2412.7,2655.8,2732.1,2735.7
2583.3,2590.9,2601.4,2615.1,2647.2,2702,2768.3,2958.6
2135.6,2161.2,2214.1,2227.4,2357,2799.6,2982.1,2982.5
1876.1,1887.2,2196,2443.2,2810.8,3348.7,3333.8,3354.6
2270.1,2295.7,2341.3,2408,2358.3,2632.3,2849.2,3069.7
2473.4,2578.1,2636.1,2676.2,2614.3,2691.9,2982.8,3271.8
2080.8,2644.2,2726.4,2763.9,2788.1,2886.8,3064.2,3414.4
2393.8,2553.5,2645.9,2713.8,2465,2567.6,3067.8,3348.4
2165.8,2617.1,2654.8,2684.2,2614.6,2729.5,3233.8,3340.8
2482.5,2494.3,2599.6,2632.3,2664.7,2752.8,2952,3145.3
2574.3,2592.1,2622.6,2642.2,2574.4,2800.1,2880.5,2900.3
2403.6,2626.7,2630.1,2648.4,2636.2,2706.2,2913.8,3018.2
2367.4,2501,2558.7,2588.3,2593.9,2624.8,2718.9,2745.3
2195.9,2502.5,2521.1,2546,2535.2,2510.5,2599.2,2781.7
2543.2,2574.2,2594.7,2561.4,2640.3,2750,2771.4,2776.3
2585.3,2428.1,2589.6,2767.2,2770.7,2843.7,2962.2,3374.4
2558.5,2653.6,2660.9,2686.2,2715.6,2735.9,2769.1,2955.7
2404.5,2476.6,2537.8,2568.5,2576.6,2647.2,2949.3,3167.4
1800,2108.3,2119.4,2077,2162,2620.6,2766.5,2832.6
2025.5,2038.7,2058.3,2104.1,2167.6,2329.7,2634.6,2732.4
2014.4,2033.2,2048.5,2058,2031.1,2031.1,3028.6,3484.4
1907.9,1873.7,2191,2833.7,3023.4,2997.8,3353.6,3595.6
2330,2548.2,2354.6,2526.1,2870.8,2874.4,2858.7,2849.1
2105,2152.5,2093.5,2168,2389.8,2472.9,2487.2,2491.2
2034.3,2116.2,2179.8,2104.6,2217.7,2519.1,2699,2795.6
2036.9,2054.2,2070,2081.8,2069.1,2135.4,2693.8,2746.3
1961.1,2073.5,2151.1,2218.7,2183.5,2280.2,2962.8,3161.4
2190.8,2529,2633.5,2563.4,2498.7,2783.6,2847.7,2851.3
2195.7,2494.6,2535.2,2546.3,2575.9,2635.3,2657.8,2652.1
2166.2,2173.4,2187.3,2178.5,2214.7,2264.8,2279.3,2752.9
2166.1,2433.9,2474.4,2481,2538.9,2605.2,2636.6,2649.1
2213.1,2243.6,2248.7,2288.4,2323.5,2349.2,2384.4,2410.7
1726.5,2275.1,2285.3,2260,2247.9,2517.8,2604.9,2742.9
1909.7,2663.1,2678.7,2704.3,2670.4,2758.1,2836.5,2903.8
1905.7,2416.2,2492.7,2521.8,2483.3,2563.3,2887,3115.4
1982.1,1998.6,1996.8,1979.2,2050.7,2491.8,2470.5,2733.6
2131.9,2288,2371.5,2438.3,2480.3,2462,2593.4,2939.2
2331.8,2516.6,2630,2611,2638.1,2679.8,2714.6,2729.4
1856,1857.9,1851.1,1871.9,1914.9,2172.7,2940.7,3124.1
1980,1988.3,2005.7,2038,2050.8,2051.8,2058.2,2739.1
2406.2,2604.8,2613.1,2617.8,2749.3,2816.4,3012.3,3780.4
2073.9,2095.6,2108.6,2091.8,2124.7,2263.3,2970.1,2998.2
2076.5,2113.2,2100.3,2115.2,2180,2845.1,2973.1,2930.5
2381.8,2538.4,2544.7,2548.5,2547.6,2564.9,2586.5,2739.7
1773.7,2320.8,2337.9,2347.4,2305.7,2323.6,2542.8,2835.5
2168.7,2188,2202.8,2215.2,2283,2659.3,2777.3,2876.7
2115.4,2565.4,2611.5,2614.3,2822.7,2910.7,3194.4,3483.2
2236,2355.7,2281.8,2333,2782.6,2824.1,2769.6,2788.6
2216.5,2432.5,2445.3,2421.6,2596.7,2874.8,2872.4,3056.1
2274.6,2368.3,2467.1,2655.2,2816.1,2855.6,2944.9,2939.5
2032.1,2132.1,2149.2,2201.6,2210.2,2247.8,2330.7,2397.3
2166.7,2204.9,2180.6,2225.9,2295.3,2328.2,2345.4,2352.2
2504.5,2548.2,2561,2563.2,2542.3,2603,2813,2920
2181.6,2430.9,2439.5,2440.5,2451,2609.3,2706.3,2752.2
2219.4,2433.5,2464,2468.7,2471.5,2517.2,2554.8,2609.4
1909.8,1979.7,2008.1,2069.3,2228.4,2403.3,3098.9,3265.6
2257.1,2331.5,2536.9,2385.4,2605.7,2916.7,3032.5,3042.4
2168.3,2488.2,2491,2503.3,2483.6,2507.2,2573.9,2591.5
1949.7,2011.3,1949.7,2059.3,2115.7,2204.7,2680,2709.5
1864.9,2199.2,2400.9,2415.5,2390.1,2448.8,2471.3,2547.7
2051.6,2298.3,2394.9,2415.2,2433.6,2454.1,2544.5,2707.9
2400.7,2429.4,2446.1,2461.1,2457,2569.6,2681.3,2673
2341.2,2476.1,2479.6,2480.3,2501.3,2532.9,2539.1,2547.7
2360.4,2391.7,2407.6,2437,2458.7,2493.7,3113.4,3187
2417.4,2423.4,2441.9,2465.5,2471.1,2512.9,2829.3,2810.3
2653.9,2683.3,2687.3,2694.2,2714.2,2749.4,2868.1,2916.8
2535.5,2536.9,2538.1,2549.2,2610.2,2635.9,2634.6,3110.3
2178.6,2239.2,2206.8,2259.4,2297.7,2338.6,2358.1,2379.4
2358.8,2456.2,2464.8,2450.4,2523.9,2543,2550.7,3240
2361.8,2495.1,2527.6,2586.4,2614.9,2635.9,2637.7,2714.8
2490.6,2646.1,2610.9,2734.6,2798.8,2820.5,2845.9,3064.8
2461.2,2509.2,2585.2,2615,2622.9,2698.3,2770.1,2859.3
2137,2137.4,2222.2,2327.7,2350.6,2339.6,2423.3,2506.9
1865.4,1871.1,1861.4,1861.7,1866.9,2131.9,2689.3,2475.2
2339.8,2527.7,2568.9,2568.9,2577.6,2729.5,2764.1,2830.1
