feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,avg_rank,top10_count
alphaRatioV_sma3nz_stddevNorm,60,0.1175696730277197,0.7331826071427014,17,0.8655443580542417,0.4274211199168491,22,0.90501369758306,0.4691374114476024,33.0,0
jitterLocal_sma3nz_stddevNorm,47,0.2769573803875003,0.6011258068632048,36,0.4747394454691915,0.6249973949573013,18,0.9740139174024692,0.4311829431623641,33.67,0
spectralFlux_sma3_stddevNorm,56,0.14128866261144,0.7086594498532628,13,1.142327936761007,0.3277736538208703,34,0.648782328210412,0.6306801483693185,34.33,0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,52,0.1903686880336195,0.664566203257317,31,0.599992906443551,0.5529645205318636,24,0.8738545837871076,0.4870853227381515,35.67,0
mfcc4_sma3_stddevNorm,19,0.9475187589668992,0.3352317793691751,28,0.7244225201112634,0.4899357069257989,64,0.3881287390740867,0.8160005578989984,37.0,0
mfcc4V_sma3nz_amean,51,0.1905016852816138,0.6644564324453068,29,0.6678566156085479,0.5176051338523076,35,0.6479844474957389,0.6312277906559428,38.33,0
shimmerLocaldB_sma3nz_amean,40,0.402354884430536,0.5288872728988231,61,0.268679563536517,0.7655542167304878,14,1.0428747286892437,0.3957704543452429,38.33,0
MeanVoicedSegmentLengthSec,14,1.2517427300800053,0.2687877627659775,30,0.6128461097280743,0.5460791737231254,73,0.3187950012689506,0.8639117559527096,39.0,0
F2amplitudeLogRelF0_sma3nz_amean,27,0.6394376006209519,0.4278541831992717,46,0.3457816675208536,0.7094520166455436,48,0.4634205382846691,0.7621651523603812,40.33,0
hammarbergIndexUV_sma3nz_amean,26,0.6461222817471065,0.4254654922359084,52,0.3208439577612609,0.7271129416647251,44,0.5180625913507232,0.7228276528522526,40.67,0
slopeV0-500_sma3nz_stddevNorm,82,0.0038285019617902,0.9509193955550308,10,1.2232209826817186,0.3034772021797753,32,0.691720106281283,0.6015589757723472,41.33,1
