file,winner,F1,F2,F3,edit
1JCR8D9J7_mono_0148,4,4,4,4,0
1JCR8D9J7_mono_0149,5,5,5,5,0
1JCR8D9J7_mono_0150,2,2,2,2,0
1JCR8D9J7_mono_0151,3,3,3,3,0
1JCR8D9J7_mono_0152,4,4,4,4,0
1JCR8D9J7_mono_0153,4,4,4,4,0
1JCR8D9J7_mono_0154,7,7,7,7,0
1JCR8D9J7_mono_0155,3,3,3,3,0
1JCR8D9J7_mono_0156,4,4,4,4,0
1JCR8D9J7_mono_0157,4,4,4,4,0
1JCR8D9J7_mono_0158,7,7,7,7,0
1JCR8D9J7_mono_0159,3,3,3,3,0
1JCR8D9J7_mono_0160,5,5,5,5,0
1JCR8D9J7_mono_0161,1,1,1,1,0
1JCR8D9J7_mono_0162,3,3,3,3,0
1JCR8D9J7_mono_0163,7,7,7,7,0
1JCR8D9J7_mono_0164,4,4,4,4,0
1JCR8D9J7_mono_0165,5,5,5,5,0
1JCR8D9J7_mono_0166,4,4,4,4,0
1JCR8D9J7_mono_0167,4,4,4,4,0
1JCR8D9J7_mono_0168,3,3,3,3,0
1JCR8D9J7_mono_0169,3,3,3,3,0
1JCR8D9J7_mono_0170,5,5,5,5,0
1JCR8D9J7_mono_0171,3,3,3,3,0
1JCR8D9J7_mono_0172,3,3,3,3,0
1JCR8D9J7_mono_0173,8,8,8,8,0
1JCR8D9J7_mono_0174,4,4,4,4,0
1JCR8D9J7_mono_0175,3,3,3,3,0
1JCR8D9J7_mono_0176,7,7,7,7,0
1JCR8D9J7_mono_0177,6,6,6,6,0
1JCR8D9J7_mono_0178,5,5,5,5,0
1JCR8D9J7_mono_0179,1,1,1,1,0
1JCR8D9J7_mono_0180,1,1,1,1,0
1JCR8D9J7_mono_0181,3,3,3,3,0
1JCR8D9J7_mono_0182,3,3,3,3,0
1JCR8D9J7_mono_0183,6,6,6,6,0
1JCR8D9J7_mono_0184,4,4,4,4,0
1JCR8D9J7_mono_0185,3,3,3,3,0
1JCR8D9J7_mono_0186,7,7,7,7,0
1JCR8D9J7_mono_0187,5,5,5,5,0
1JCR8D9J7_mono_0188,5,5,5,5,0
1JCR8D9J7_mono_0189,2,2,2,2,0
1JCR8D9J7_mono_0190,2,2,2,2,0
1JCR8D9J7_mono_0191,8,8,8,8,0
1JCR8D9J7_mono_0192,6,6,6,6,0
1JCR8D9J7_mono_0193,8,8,8,8,0
1JCR8D9J7_mono_0194,8,8,8,8,0
1JCR8D9J7_mono_0195,4,4,4,4,0
1JCR8D9J7_mono_0196,4,4,4,4,0
1JCR8D9J7_mono_0197,8,8,8,8,0
1JCR8D9J7_mono_0198,3,3,3,3,0
1JCR8D9J7_mono_0199,1,1,1,1,0
1JCR8D9J7_mono_0200,4,4,4,4,0
1JCR8D9J7_mono_0201,2,2,2,2,0
1JCR8D9J7_mono_0202,4,4,4,4,0
25DM30Y18_mono_0001,2,2,2,2,0
25DM30Y18_mono_0002,2,2,2,2,0
25DM30Y18_mono_0003,1,1,1,1,0
25DM30Y18_mono_0004,8,8,8,8,0
25DM30Y18_mono_0005,1,1,1,1,0
25DM30Y18_mono_0006,5,5,5,5,0
25DM30Y18_mono_0007,6,6,6,6,0
25DM30Y18_mono_0008,7,7,7,7,0
25DM30Y18_mono_0009,4,4,4,4,0
25DM30Y18_mono_0010,5,5,5,5,0
25DM30Y18_mono_0011,7,7,7,7,0
25DM30Y18_mono_0012,5,5,5,5,0
25DM30Y18_mono_0013,4,4,4,4,0
