file,label,group,color,number
PLM47TO8W_mono_0053.wav,EY,10,Purple,4408
PLM47TO8W_mono_0054.wav,AE,2,Blue,4409
PLM47TO8W_mono_0055.wav,EY,10,Purple,4410
PLM47TO8W_mono_0056.wav,UW,17,Cyan,4411
PLM47TO8W_mono_0057.wav,EH,8,Black,4412
PLM47TO8W_mono_0058.wav,AH,3,Black,4413
PLM47TO8W_mono_0059.wav,IH,11,Teal,4414
PLM47TO8W_mono_0060.wav,IH,11,Teal,4415
PLM47TO8W_mono_0061.wav,AH,3,Black,4416
PLM47TO8W_mono_0062.wav,AW,5,Olive,4417
PLM47TO8W_mono_0063.wav,AH,3,Black,4418
PLM47TO8W_mono_0064.wav,EY,10,Purple,4419
PLM47TO8W_mono_0065.wav,ER,9,Lime,4420
PLM47TO8W_mono_0066.wav,AA,1,Red,4421
PLM47TO8W_mono_0067.wav,AY,7,Magenta,4422
PLM47TO8W_mono_0068.wav,AA,1,Red,4423
PLM47TO8W_mono_0069.wav,AY,7,Magenta,4424
PLM47TO8W_mono_0070.wav,AH,3,Black,4425
PLM47TO8W_mono_0071.wav,AO,4,Green,4426
PLM47TO8W_mono_0072.wav,ER,9,Lime,4427
PLM47TO8W_mono_0073.wav,AO,4,Green,4428
PLM47TO8W_mono_0074.wav,AH,3,Black,4429
PLM47TO8W_mono_0075.wav,AE,2,Blue,4430
PLM47TO8W_mono_0076.wav,AH,3,Black,4431
PLM47TO8W_mono_0077.wav,OW,14,Maroon,4432
PLM47TO8W_mono_0078.wav,IH,11,Teal,4433
PLM47TO8W_mono_0079.wav,EY,10,Purple,4434
PLM47TO8W_mono_0080.wav,AH,3,Black,4435
PLM47TO8W_mono_0081.wav,AE,2,Blue,4436
PLM47TO8W_mono_0082.wav,AO,4,Green,4437
PLM47TO8W_mono_0083.wav,AH,3,Black,4438
PLM47TO8W_mono_0084.wav,UW,17,Cyan,4439
PLM47TO8W_mono_0085.wav,AH,3,Black,4440
PLM47TO8W_mono_0086.wav,EY,10,Purple,4441
PLM47TO8W_mono_0087.wav,ER,9,Lime,4442
PLM47TO8W_mono_0088.wav,AW,5,Olive,4443
