e1,e2,e3,e4,e5,e6,e7,e8
276.8,267.5,273.6,212.7,132.2,128.1,126.6,128.7
214.4,126.4,375.2,59.4,60.4,62.3,62.8,73.3
123.3,216.2,81.7,67.6,66.8,64.3,85.4,107.5
103.6,127.5,136.8,216.6,82.5,95,97.8,90.7
10202.2,207.1,150.5,169.5,284.4,268.9,271.4,306.9
66.5,106,35.5,65,39.8,38.1,43.7,62.9
82.5,75.2,86.6,85.6,65.3,68.2,95.8,123.7
67,335.6,90.9,37.2,43.5,49.1,55.4,68.5
197.7,35.9,37.2,46.8,63,78,110.7,188.8
95.9,70.2,57.6,27.1,22.2,22.7,23.4,25.8
236.7,277,145.7,63.1,69.3,73.1,374.4,802.1
85.2,104.2,112.3,79.2,95,100.1,96.3,71.9
73.8,183.8,129.5,126.1,71.8,58.1,48.7,56.3
303.1,436.8,172.6,153.8,137.7,139.2,874.8,848.8
210.9,186.2,71,70.6,68.7,77,83.9,84.4
154.9,199,133.3,93.1,86.4,86,88.4,82.6
423.6,615.9,548.3,50.8,53.5,62.4,56.5,52.8
608.3,310.1,140.3,145.5,150.1,136.7,131.8,761
359.3,282.3,193.8,87.8,109.1,111.5,91.1,188.6
185.4,102.8,105,55.3,58.4,47.1,46,38.5
250.7,238.8,280.4,152,35.5,44.8,271,572.4
101.2,125.7,256.2,129.9,133.9,139,138.4,153.6
66.4,109.8,100.4,38.5,36.8,37.8,32.1,29.8
83.4,126.2,104.8,114.9,121.3,42.6,42.1,43.5
83.9,85.4,94.5,201.5,120.7,123,87.4,94
187.3,110.1,234.9,113,98.8,97.1,79.9,71.2
230.6,148.9,164.8,105.1,88,71.4,72.2,83.2
116.7,210.6,184.4,273.3,117.3,95.2,68.3,87.1
100,144.7,139.3,114.9,39.5,41.4,41.6,42.9
277.5,130.2,116.3,116.4,149.9,206.2,217.4,137.5
69.6,23.1,24.5,24.2,22.7,28.9,39.3,161
121.4,59.1,64.4,57.3,97,135.7,139.8,121.7
225.9,246,243.3,249.3,215.6,178.5,173.1,183.3
180.8,237.9,228.9,86.6,64.4,64,64.8,65.1
181.4,98.9,182.6,32.9,28.9,30.2,50.3,851.4
70.4,141.3,79.9,27.6,22.8,25.5,29.2,36.1
297.7,311.7,279.8,204.4,181.2,171.7,135.1,128.8
109.6,157.6,168.1,194.7,144.8,134.1,124.8,116.8
400.2,291,254.9,55,239.6,552.1,990.5,987.9
90.3,81.5,120.4,79.8,37,39.8,38.3,37.4
158.6,159.1,144.2,255.9,152,121.9,105.5,120.2
267.1,172.9,207.8,28.3,26,30.5,36.2,43.5
58.7,49.6,38.9,39.1,51.1,124.2,370.3,233.4
244.3,146.7,172,148.1,159.2,384.6,601.5,174.9
263.4,190.2,140.4,83.6,92.5,91.8,739.3,773.2
