feature,rho_perceived,p_perceived,ci_lo_perceived,ci_hi_perceived,n_perceived,q_perceived,hit_perceived,rho_actual,p_actual,ci_lo_actual,ci_hi_actual,n_actual,q_actual,hit_actual
EH_z1,0.11843527290731981,0.4126889148499976,-0.17503224221475286,0.407453543626652,50,0.7212658120245212,False,0.1099662764683808,0.4471220702942633,-0.19127521815402915,0.3869537387606441,50,0.6886845880166015,False
v_cpps,-0.11829119106679996,0.4132616809999017,-0.36842076528224205,0.15778523586103607,50,0.7212658120245212,False,-0.0511754416805761,0.7241305548803961,-0.30811949764673924,0.20267979738184547,50,0.853825579635094,False
DH_sd,0.12477487389019337,0.38794124497451143,-0.15379973909760913,0.3958478192874963,50,0.7212658120245212,False,0.23115256544807838,0.10628638701280674,-0.02673928108449371,0.4806520182559405,50,0.3998392654291301,False
AY_rate,0.11190356280375309,0.4391089583468958,-0.18985890001739247,0.428073924300004,50,0.7380767597745695,False,-0.09072471655078325,0.5309286748971429,-0.36914753356491736,0.2103776603917268,50,0.7208297998180473,False
DH_skew,-0.1010493974845908,0.48502391914211984,-0.3729723002629162,0.18496887029905404,50,0.7454449392254943,False,-0.23683872563480907,0.0977220453696261,-0.5024515168678763,0.07132902237660513,50,0.3998392654291301,False
Z_sd,-0.10152967028632362,0.48294049860588917,-0.34464292909990807,0.1598653907947055,50,0.7454449392254943,False,-0.0163477105368507,0.9102846687583428,-0.29484475655800024,0.2785002788659135,50,0.9588331844254543,False
HH_skew,-0.1298779932372948,0.4861959500454993,-0.4845806205785869,0.2533855872678353,31,0.7454449392254943,False,-0.4475505804947111,0.01158438651106992,-0.7276008810161656,-0.09083319049608428,31,0.1531069267700315,False
OW_trajlen,-0.10018490644147167,0.48878592292921574,-0.391916571129292,0.20889655488383613,50,0.7454449392254943,False,-0.18967405765737333,0.18707279535158394,-0.456901544983622,0.08214449647253257,50,0.5160842397733241,False
DH_kurt,-0.0997526609199121,0.490672618224376,-0.3705742716578834,0.191578821589675,50,0.7454449392254943,False,-0.2571464405874186,0.07142601371085898,-0.518961873027739,0.016194486170673303,50,0.35266594269736623,False
UW_z2,-0.08813005911797722,0.5427910416649637,-0.38137552446721723,0.22315754305368277,50,0.809065892293059,False,-0.24846489244517803,0.08188110322589781,-0.5073184689460944,0.024834159849367606,50,0.3778386344848137,False
AW_rate,0.06819873784606412,0.6379340708175604,-0.24609854181671587,0.3514779526844966,50,0.8131538122527049,False,0.09372010450629314,0.5173945646732614,-0.2129744496365927,0.38973466674450796,50,0.7202390876882035,False
Z_kurt,0.0844799858248076,0.5596920483128136,-0.20578008417584046,0.3609012640435563,50,0.8131538122527049,False,-0.06610161217074413,0.648327951232142,-0.3375696068123131,0.20498771318934458,50,0.8090236214415614,False
SH_sd,-0.06815071056589084,0.6381713463249077,-0.3663557255937893,0.2188077603906456,50,0.8131538122527049,False,0.21252023697905909,0.13841449009366888,-0.07902214545593754,0.4627830542101496,50,0.44722409718924294,False
IY_z2,0.08231875821700979,0.569814308130498,-0.223011309829886,0.35077508012818454,50,0.8131538122527049,False,0.02959849454342844,0.8383191352132757,-0.27361620779578244,0.3147705170881665,50,0.9461030240264111,False
HH_peak,0.09954614271507585,0.5941723960657186,-0.26258805082437453,0.4440875971087656,31,0.8131538122527049,False,0.12975864380276242,0.4866001224426728,-0.25950459087797345,0.47403741932682936,31,0.7118779569068732,False
HH_cog,-0.10325703810170024,0.5804233452164773,-0.40850088730329814,0.24402490615225525,31,0.8131538122527049,False,0.022028045608826288,0.9063680142469903,-0.34566237663076516,0.3787272903594638,31,0.9588331844254543,False
V_peak,0.074035829979406,0.6093696630039342,-0.19123525902206726,0.33194767620234494,50,0.8131538122527049,False,0.23298585375901795,0.10346443661051115,-0.04573726558899718,0.4909891119000655,50,0.3998392654291301,False
F_cog,-0.07204092025992688,0.6190700889829028,-0.36453088658331123,0.2291585427736101,50,0.8131538122527049,False,0.11047396934219604,0.4450143723467074,-0.18035285766441767,0.4003678596630401,50,0.6886845880166015,False
SH_kurt,0.06834281968658397,0.6372224598613756,-0.2372639274412062,0.35283535763368123,50,0.8131538122527049,False,-0.16525403042686032,0.2514339346615655,-0.4256892727030549,0.1296087523308327,50,0.5675223096646764,False
AA_z1,0.06459669183306778,0.6558279700404013,-0.2539195190035933,0.36987811923484354,50,0.8164161874863198,False,-0.13479245799794598,0.35067128004135095,-0.432122603352327,0.1848648246494099,50,0.6595959791253982,False
HH_kurt,-0.08046788711441091,0.666967293465,-0.4557373593562797,0.3125901113069909,31,0.8164161874863198,False,-0.42975869750296664,0.015826538670694012,-0.7258318551811902,-0.08247759534307388,31,0.1531069267700315,False
F_skew,0.06142689134163099,0.6717348378051999,-0.24091983988265908,0.3514071313002836,50,0.8164161874863198,False,0.007869239544136207,0.9567460763213611,-0.27821313372495443,0.3246238147055948,50,0.9815966237582796,False
OW_z2,-0.05710443612603538,0.6936563087905437,-0.3315868911416371,0.23042116102260013,50,0.8169930922534928,False,0.010052318901541735,0.9447631641369122,-0.24573427487330177,0.2773656722049109,50,0.9815966237582796,False
F_kurt,-0.057536681647594935,0.6914525926629758,-0.3261112044895272,0.23582487954928244,50,0.8169930922534928,False,-0.022490794310015095,0.8767968485942299,-0.31525471631561874,0.2737787531352734,50,0.9588331844254543,False
EY_z1,-0.05523137219927729,0.703234560420728,-0.31496234416987273,0.20935884619385192,50,0.8169930922534928,False,-0.11458628162009947,0.4281456202375298,-0.3963081079014233,0.17348171374886806,50,0.6886845880166015,False
vowel_space_area,-0.036981005733429134,0.7987474963093888,-0.3299777791815572,0.24924453824275863,50,0.8893167895473563,False,0.10641242635167411,0.46202890082126435,-0.18282020075694685,0.40988197607867044,50,0.6886845880166015,False
OW_rate,-0.038181687737761254,0.7923559185610933,-0.3369126320821962,0.23588958957338746,50,0.8893167895473563,False,-0.11580474451725604,0.4232176023610422,-0.39335004314844263,0.1787312681288651,50,0.6886845880166015,False
IH_z2,0.03688495117308257,0.7992593931374974,-0.2440178873130112,0.3136585623132033,50,0.8893167895473563,False,0.1757632729148358,0.2221122044594053,-0.11282219662766349,0.4450131187740263,50,0.5160842397733241,False
S_sd,-0.03419542348337863,0.813625674788993,-0.3000685146303611,0.250732825036006,50,0.892728170949034,False,0.03670619477684179,0.8002122493148478,-0.24934444994668786,0.3291190397278501,50,0.9161850390706229,False
AW_z2,0.03097759571176856,0.8308936312220653,-0.2459609750760584,0.2798114691554654,50,0.8991862584457968,False,0.0163477105368507,0.9102846687583428,-0.27904300186953623,0.3199898179511409,50,0.9588331844254543,False
S_kurt,0.027087386017732508,0.8518751451999318,-0.2723397109135924,0.29403061116486184,50,0.9094342766323597,False,0.06468007212406146,0.6554115414210118,-0.21341494080765133,0.34589709402800073,50,0.8090236214415614,False
SH_skew,-0.01853853014688785,0.8983210683471456,-0.3009601670344284,0.25814826353001386,50,0.9318776008815638,False,-0.2161248563831473,0.13169288464085707,-0.4842241244550405,0.07044516590786362,50,0.44722409718924294,False
S_dur,-0.016713493500303038,0.9082857628845622,-0.30962018539381836,0.2852939836521608,50,0.9318776008815638,False,0.08910009935457447,0.538341242902086,-0.17643174232502948,0.34728955062674016,50,0.7208297998180473,False
AW_trajlen,0.020603703194339087,0.8870640044466156,-0.26899225489993034,0.3102487050601702,50,0.9318776008815638,False,0.05919698908685688,0.683011498821673,-0.22612774401526903,0.35297958720943057,50,0.8301216677986487,False
AH_z1,0.010229810676909618,0.9437894089356078,-0.2866970063643082,0.30320731498819703,50,0.955889273152731,False,-0.002386156506931624,0.9868786396930185,-0.28271550940753953,0.27757622713216357,50,0.9910660986802209,False
V_dur,0.007396378732940982,0.9593429454881142,-0.2503231998000378,0.26492963747898385,50,0.9593429454881142,False,0.15792166008224565,0.2733757677854775,-0.1312498826428939,0.44008782046920697,50,0.5836942068933169,False
