model,target,pass,name,n_features,cv_spearman,cv_r2,perm_p,delta_rho,delta_lo,delta_hi,p_delta_le0
enet,perceived,block-alone,sibilant /s/,3,0.5886223458037759,0.269101053806567,0.000999000999000999,,,,
enet,perceived,leave-block,sibilant /s/,10,-0.5413154748330907,-0.11811245810151383,0.3006993006993007,0.9973345000784279,0.6605536305191433,1.2701681394480633,0.0
enet,perceived,block-alone,vowels,2,-0.49738245557361555,-0.12343767233584257,0.2897102897102897,,,,
enet,perceived,leave-block,vowels,11,0.5093773335178564,0.14985928057426423,0.001998001998001998,-0.053358308272519195,-0.18734411372448778,0.06625649097309023,0.7988
enet,perceived,block-alone,diphthongs,2,-0.9999759831882283,-0.04123281965847547,0.955044955044955,,,,
enet,perceived,leave-block,diphthongs,11,0.5164373437033292,0.2042211599134165,0.001998001998001998,-0.06041831845799195,-0.13757457633901995,-0.005578330361934307,0.9888
enet,perceived,block-alone,pitch/F0,3,-0.040054751664519356,-0.03251665320881347,0.14985014985014986,,,,
enet,perceived,leave-block,pitch/F0,10,0.4633191718316764,0.15936145115065492,0.002997002997002997,-0.007300146586339207,-0.14876823852766347,0.13213977098707338,0.5454
enet,perceived,block-alone,phonation,3,-0.9999759831882283,-0.04123281965847547,0.9530469530469531,,,,
enet,perceived,leave-block,phonation,10,0.5767596076009747,0.30559486806026614,0.001998001998001998,-0.12074058235563745,-0.24176402650518322,-0.015429337283464243,0.991
enet,actual,baseline,ALL-13,13,0.12910629781121533,-0.027569415978913492,0.10589410589410589,,,,
enet,actual,block-alone,sibilant /s/,3,0.2643049101082135,0.04383806192736983,0.028971028971028972,,,,
enet,actual,leave-block,sibilant /s/,10,-0.9829986302401148,-0.07431095852393055,0.5464535464535465,1.1121049280513302,0.82712386272057,1.3935554479952783,0.0
enet,actual,block-alone,vowels,2,-0.9979131528744989,-0.04123281965847525,0.6683316683316683,,,,
enet,actual,leave-block,vowels,11,0.21708947284339625,-0.018493961825912786,0.06393606393606394,-0.08798317503218092,-0.23475260651558696,0.0810817762152712,0.86
enet,actual,block-alone,diphthongs,2,-1.0,-0.04123281965847525,1.0,,,,
enet,actual,leave-block,diphthongs,11,0.23389410696668067,0.04713747616984054,0.05194805194805195,-0.10478780915546534,-0.21391937296355687,-0.009328128167466199,0.9834
enet,actual,block-alone,pitch/F0,3,-0.14113861892063648,-0.06717172210717481,0.1938061938061938,,,,
enet,actual,leave-block,pitch/F0,10,0.06630468932027023,-0.03510990017761295,0.13086913086913088,0.0628016084909451,-0.1287539304134589,0.23918085893692412,0.2408
enet,actual,block-alone,phonation,3,-0.7284586692804942,-0.08408647938467206,0.34865134865134867,,,,
