pc,sigma,var_frac,cum_var,rel_axis_len,boot_stability,perceived_spearman,perceived_p
33,17.029112427132578,0.007551840366039613,0.9260354018757665,3.638975158864809,,-0.11838724562714652,0.41287978626422733
34,16.62871190892091,0.007200886972653334,0.9332362888484198,3.7265975524301935,,-0.19931321271913105,0.16523487481676832
35,16.46658077462849,0.007061153187691785,0.9402974420361115,3.763289898977195,,0.029536777306570023,0.8386517709523913
36,15.797298740917219,0.00649881894556731,0.9467962609816789,3.922728696605852,,-0.061859136863190556,0.6695571229300146
37,14.901274852634623,0.0057824997977541925,0.9525787607794332,4.158605066525238,,-0.14960497773978151,0.29975426583115666
38,14.635787771402292,0.005578288637748147,0.9581570494171813,4.234040426640739,,0.040054751664519356,0.7824121298574076
39,14.146325171973567,0.0052114196841461695,0.9633684691013275,4.3805381501213,,-0.0055711645001010135,0.9693703847983263
40,13.984723428659848,0.005093033577502803,0.9684615026788302,4.431157857069604,,0.03438753260407177,0.8125974357609425
41,13.57582425994487,0.00479955740460697,0.9732610600834373,4.56462281135209,,0.060802536699378296,0.674885138212199
42,13.230960662729482,0.004558810418195181,0.9778198705016324,4.683599224537915,,-0.038037605897241394,0.7931222037533735
43,13.086369996806479,0.004459715617013458,0.9822795861186459,4.735348084684592,,-0.026943304177212656,0.8526542849605664
44,12.455611242680352,0.004040162797624613,0.9863197489162705,4.975148621170062,,-0.005811300900967435,0.9680508121664011
45,11.950455826471314,0.003719098814074015,0.9900388477303446,5.18545217016624,,0.011430492681241732,0.9372044355030209
46,11.580800236889253,0.0034925764095503683,0.9935314241398949,5.350970212097967,,-0.05162932618628094,0.7217819130947579
47,11.42882781888358,0.0034015131592106036,0.9969329372991055,5.422123605490177,,0.06983166537195579,0.6298882034755746
48,10.808857337671572,0.0030424842954723066,0.9999754215945778,5.733123785793312,,0.017193766302035885,0.9056620563613144
49,0.971499237372968,2.4578405422298388e-05,1.0,63.78648043761784,,-0.07401003874703156,0.6094946566842226
