model,target,layer,n,cv_spearman,cv_r2,cv_mae,perm_p,is_best,best_fw_p
enet,perceived,5,50,0.6702206948181866,0.498335077420623,0.5472136842340664,0.14285714285714285,True,0.14285714285714285
enet,perceived,6,50,0.5756549801569891,0.360502849206254,0.6012136463151461,0.14285714285714285,False,0.14285714285714285
enet,perceived,7,50,0.5022692960522103,0.2574251591961759,0.6593258235420005,0.14285714285714285,False,0.14285714285714285
enet,perceived,8,50,0.5131714886515458,0.21674634439189888,0.6927403237854225,0.14285714285714285,False,0.14285714285714285
enet,perceived,9,50,0.38340177762333094,0.10788867025184246,0.7271199415041052,0.14285714285714285,False,0.14285714285714285
enet,perceived,10,50,0.636217380455501,0.4409919099482821,0.556993854806043,0.14285714285714285,False,0.14285714285714285
enet,perceived,11,50,0.6048555665023462,0.38171522704868543,0.5988302776778953,0.14285714285714285,False,0.14285714285714285
enet,perceived,12,50,0.6209447053603965,0.414035119643126,0.5858949967743693,0.14285714285714285,False,0.14285714285714285
enet,perceived,S_cog-alone,50,0.44891098777969113,0.18152298736684802,0.6727325371855557,,False,
ridge,actual,0,50,-0.5898375807985448,-0.26832738730215877,1.741517868018895,0.42857142857142855,False,0.2857142857142857
ridge,actual,1,50,-0.8972456158936721,-0.0810244912154292,1.6326988762737493,0.8571428571428571,False,0.2857142857142857
ridge,actual,2,50,-0.9232902603203939,-0.0436798809277561,1.6044915833242728,1.0,False,0.2857142857142857
ridge,actual,3,50,-0.27933261917314456,-0.1266267591669079,1.6492128248491331,0.42857142857142855,False,0.2857142857142857
ridge,actual,4,50,-0.9242548767806429,-0.05277994009701681,1.61311226234185,0.5714285714285714,False,0.2857142857142857
ridge,actual,5,50,-0.9076533198068846,-0.14657794481751263,1.6731120703643194,0.42857142857142855,False,0.2857142857142857
ridge,actual,6,50,-0.20764638539043279,-0.3615087143671223,1.800691801000313,0.42857142857142855,False,0.2857142857142857
ridge,actual,7,50,0.05589698540705783,-0.03471894761307137,1.51993938115585,0.42857142857142855,False,0.2857142857142857
ridge,actual,8,50,0.10879858285860575,-0.013174671903302126,1.4994656002552562,0.2857142857142857,False,0.2857142857142857
ridge,actual,9,50,0.08844009861861465,-0.05027732202099289,1.523350902805835,0.2857142857142857,False,0.2857142857142857
ridge,actual,10,50,0.2641018329586874,0.01237257130333591,1.4102875880537857,0.14285714285714285,True,0.2857142857142857
ridge,actual,11,50,-0.12560321698189014,-0.29072948523048403,1.6554427392725761,0.42857142857142855,False,0.2857142857142857
ridge,actual,12,50,0.02792310805983815,-0.11636349739456775,1.5809825436853695,0.2857142857142857,False,0.2857142857142857
ridge,actual,S_cog-alone,50,0.2701433781570887,0.06646544451090308,1.4644521552767018,,False,
enet,actual,0,50,-0.6221726686993851,-0.16109204960861767,1.6650972056388855,0.14285714285714285,False,0.14285714285714285
enet,actual,1,50,-0.041888685205902304,-0.13564189958138795,1.6023990249633788,0.14285714285714285,False,0.14285714285714285
enet,actual,2,50,-0.9670785717072949,-0.10487869902309144,1.6469239568710328,0.42857142857142855,False,0.14285714285714285
enet,actual,3,50,-0.18744470953983314,-0.07647888806974157,1.5915457487106324,0.2857142857142857,False,0.14285714285714285
enet,actual,4,50,-0.10839242855955356,-0.14926227195660902,1.629043996334076,0.2857142857142857,False,0.14285714285714285
enet,actual,5,50,0.01584001766303546,-0.0971476166356513,1.548205726146698,0.14285714285714285,False,0.14285714285714285
enet,actual,6,50,-0.0653924122121628,-0.19438715179708832,1.6471004247665406,0.2857142857142857,False,0.14285714285714285
enet,actual,7,50,0.12688768269583017,-0.24571626759933118,1.5779693579673768,0.14285714285714285,False,0.14285714285714285
enet,actual,8,50,-0.027822237493994734,-0.34547978534222956,1.7029674577713012,0.14285714285714285,False,0.14285714285714285
enet,actual,9,50,-0.08432778634071121,-0.09196628760346037,1.5675720882415771,0.42857142857142855,False,0.14285714285714285
enet,actual,10,50,0.3789419610156945,0.034220570286539576,1.4346559643745422,0.14285714285714285,True,0.14285714285714285
enet,actual,11,50,-0.42470690409449735,-0.4095747482564289,1.7593627500534057,0.2857142857142857,False,0.14285714285714285
enet,actual,12,50,0.34345422913600926,0.12191536007921033,1.3577225804328918,0.14285714285714285,False,0.14285714285714285
enet,actual,S_cog-alone,50,0.2700926088697072,0.06517147908536558,1.4739805780959427,,False,
