file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BO,36.7966,39.4692,BO,-44.41093530547753,,,15.834947521263881
BO,39.7459,41.6353,BO,-45.20005580357143,,,27.593309329867612
BO,42.6438,43.6755,BO,-45.583178473907765,,,25.266513207173038
BO,43.8855,46.8813,BO,-46.85458984375,,,25.214914975948812
BO,47.5152,49.4419,BO,-47.921581525259064,,,20.476269095411894
JF,0.0346,2.882,Meow,-47.641971628289475,,,20.062486276316328
JF,3.2074,4.0796,Meow,-44.85308066181753,,,13.869971245423233
JF,4.6694,6.0931,Meow,-50.78283175616197,,,19.282555277158785
JF,6.4396,8.5548,Meow,-49.7505573776533,,,14.31118854777577
JF,9.3426,12.1855,Meow,-46.77088949713909,,,14.906040098387173
JF,12.1855,13.6317,Meow,-48.55782933728448,,,17.459507506177523
JF,14.5251,17.169,Meow,-49.40452252012311,,,18.163667240050593
JF,17.499,18.3758,Meow,-48.24065607244318,,,18.584893789381645
JF,18.7731,20.8882,Meow,-46.09136387087264,,,20.154241242318935
JF,20.9835,23.3879,Meow,-44.16639811197917,,,16.3809617886076
JF,23.9246,27.2239,Meow,-46.712473366477276,,,17.855477182065325
JF,27.445,28.8912,Meow,-50.03736193426724,,,12.752186815236033
JF,29.246,30.742,Meow,-51.808268229166664,,,11.14735014627615
JF,31.1917,33.23,Meow,-51.59717275582108,,,16.683018760005115
JF,33.4718,34.5294,Meow,-48.63292305424528,,,15.090910036056968
JF,35.0084,38.1179,Meow,-46.677502009646304,,,13.256751436024855
JF,38.3604,41.2078,Meow,-46.71981565241228,,,16.149187846736066
JF,43.0679,45.1017,Meow,-48.8627665101601,,,10.702232542196871
JF,45.1017,47.2711,Meow,-49.37281736031106,,,15.981760365280042
JF,47.919,50.5223,Meow,-44.39916616586538,,,16.963361295099332
AB,0.0,1.8432,AB,-53.38204292629076,,,10.15872379299069
AB,1.9298,4.8856,AB,-55.29453916807432,,,13.256677403925101
AB,5.3061,6.0976,AB,-53.76369041732595,,,19.065187454540528
AB,6.2955,6.6418,AB,-48.93688616071429,,,21.60550974783888
AB,7.2756,9.3533,AB,-52.49006535456731,,,16.403480245010236
AB,9.4788,10.6166,AB,-49.75002998218202,,,21.559399554683445
AB,10.6166,12.8303,AB,-53.77270397341629,,,10.633925084657236
AB,13.3625,15.836,AB,-51.23429592611336,,,10.940348598560192
AB,15.8978,17.0727,AB,-47.21372946714744,,,31.491327544628593
AB,17.0727,19.1381,AB,-52.59185348731884,,,20.740170758709464
AB,19.826,22.4479,AB,-51.294437321087784,,,31.43953779352553
AB,22.4479,25.1935,AB,-52.17312144886364,,,17.40721310004369
AB,25.6566,26.782,AB,-51.65660000691372,,,14.273183377836974
AB,26.8191,28.2661,AB,-51.94488146551724,,,14.203040795889484
AB,28.2661,29.8919,AB,-52.53459307898773,,,16.782046098187603
AB,30.0371,30.4576,AB,-51.967616489955354,,,30.199250462127324
AB,30.6184,31.0512,AB,-52.25613190406977,,,17.188510233974597
AB,31.643,33.5476,AB,-50.67636204769737,,,24.638375981715317
AB,33.5476,35.7613,AB,-57.02963270644796,,,22.082151352376382
AB,35.7613,37.1291,AB,-50.19611798585766,,,23.346458863510467
AB,37.1291,38.774,AB,-51.97423423208841,,,12.162262475008347
AB,39.0064,41.3191,AB,-55.83051778950217,,,31.191614118168623
AB,41.9617,44.1508,AB,-51.387329658961185,,,25.134632129272603
AB,44.1508,46.179,AB,-53.79756292333744,,,8.938377782919245
AB,46.6232,49.1215,AB,-52.3251171875,,,33.5634485959988
AB,49.1215,51.1621,AB,-52.72055472579657,,,17.547589332815384
AB,51.2487,52.2999,AB,-55.34389880952381,,,28.779384357254372
AB,52.8082,54.181,AB,-53.8032689895073,,,11.601687984293326
AB,54.2057,55.8258,AB,-52.183690200617285,,,19.856337411698544
AB,55.8258,58.4725,AB,-51.94911556603773,,,20.874741968846262
AB,59.0039,59.7336,AB,-53.35369956656678,,,16.336653103620307
AB,59.882,60.5993,AB,-52.09344482421875,,,29.328115808793605
AB,60.6488,61.3913,AB,-58.648199957770274,,,10.693152090735614
GE,0.1177,1.5434,Meow,-46.48402671547203,,,17.542472082492818
GE,1.5434,3.4373,Meow,-48.22180886243386,,,19.45097750354701
GE,3.9594,4.8181,Meow,-51.51191179142442,,,16.76847364783162
GE,5.2844,7.1044,Meow,-47.834746308379124,,,15.467193818372158
GE,7.4947,9.7009,Meow,-49.411252121040725,,,12.486763139438178
GE,10.2623,11.2031,Meow,-52.324930393949465,,,16.487222603151388
GE,11.3305,14.913,Meow,-50.840618453212294,,,17.91142055505444
GE,15.4676,18.6886,Meow,-50.170962126358695,,,17.788933709504438
GE,18.7379,19.5391,Meow,-51.43133544921875,,,16.880001259925148
GE,20.0717,21.0084,Meow,-48.47196538397606,,,17.154949237702574
GE,21.1563,22.1711,Meow,-48.53678546565594,,,14.000015842538739
GE,22.3231,24.4554,Meow,-49.09392422241784,,,15.735346023369315
GE,25.0452,27.2802,Meow,-49.344329833984375,,,13.667270342123478
GE,27.6972,28.8393,Meow,-50.04359409265351,,,14.043931437654454
GE,29.0451,30.824,Meow,-47.44784717345506,,,11.020459470993364
GE,31.315,32.227,Meow,-51.78406164148352,,,14.15552412083931
GE,32.4489,34.2977,Meow,-50.243211570945945,,,16.966598827719125
GE,34.9416,37.0492,Meow,-52.446400140699055,,,16.3408911533002
GE,37.1177,38.1201,Meow,-48.21041015625,,,13.62475396309437
GE,38.5405,41.1946,Meow,-45.06770710495283,,,14.794745410450725
GE,41.6478,43.7185,Meow,-48.01282740791063,,,16.348540828007327
GE,44.1594,45.2481,Meow,-51.21134066800459,,,16.91012212051845
GE,45.4043,46.3204,Meow,-52.72597337805706,,,15.5988690456631
GE,46.3204,48.8183,Meow,-49.62068359375,,,15.487489955499576
GE,49.3363,52.0273,Meow,-46.80661521259294,,,16.516589233512903
VI,0.0024,0.7601,VI,-43.15864643297697,,,13.852276406983885
VI,0.8967,3.1808,VI,-46.002013089364034,,,11.552977611183195
VI,3.5904,4.3973,VI,-43.306740089699076,,,12.441925491986396
VI,4.9559,6.4952,VI,-47.166396103896105,,,12.051678639560574
VI,6.6881,8.9474,VI,-44.03829334900443,,,10.53851269428672
VI,9.5969,10.4906,VI,-48.353351035814605,,,13.483063645904629
VI,10.8002,13.7916,VI,-43.95015285326087,,,12.904806731109959
VI,14.3873,17.0219,VI,-45.12281665874525,,,12.543312270946556
VI,17.4207,18.2185,VI,-45.135842895507814,,,11.402179466992388
VI,18.7118,19.562,VI,-45.56164407169118,,,12.791454004356186
